"organism","number"
"Pseudomonas sp. 11K1","None"
"Pseudomonas sp. 1D4","None"
"Pseudomonas sp. 1D4","None"
"Pseudomonas sp. 2(2015)","None"
"Pseudomonas sp. 2(2015)","None"
"Pseudomonas sp. 21C1","None"
"Pseudomonas sp. 22 E 5","None"
"Pseudomonas sp. 22 E 5","None"
"Pseudomonas sp. 24 E 13","None"
"Pseudomonas sp. 25 E 4","None"
"Pseudomonas sp. 25 R 14","None"
"Pseudomonas sp. 25 R 14","None"
"Pseudomonas sp. 250J","None"
"Pseudomonas sp. 250J","None"
"Pseudomonas sp. 28 E 9","None"
"Pseudomonas sp. 2822-15","None"
"Pseudomonas sp. 2822-17","None"
"Pseudomonas sp. 2995-1","None"
"Pseudomonas sp. 2995-3","None"
"Pseudomonas sp. 31-12","None"
"Pseudomonas sp. 31-12","None"
"Pseudomonas sp. 31 E 5","None"
"Pseudomonas sp. 31 E 6","None"
"Pseudomonas sp. 31 R 17","None"
"Pseudomonas sp. 34 E 7","None"
"Pseudomonas sp. 37 R 15","None"
"Pseudomonas sp. 382","None"
"Pseudomonas sp. 424","None"
"Pseudomonas sp. 43mfcvi1.1","None"
"Pseudomonas sp. 43mfcvi1.1","None"
"Pseudomonas sp. 43mfcvi1.1","None"
"Pseudomonas sp. 43NM1","None"
"Pseudomonas sp. 44 R 15","None"
"Pseudomonas sp. 443","None"
"Pseudomonas sp. 460","None"
"Pseudomonas sp. 460","None"
"Pseudomonas sp. 460","None"
"Pseudomonas sp. 478","None"
"Pseudomonas sp. 478","None"
"Pseudomonas sp. 478","None"
"Pseudomonas sp. 5","None"
"Pseudomonas sp. 57B-090624","None"
"Pseudomonas sp. 57B-090624","None"
"Pseudomonas sp. 58 R 3","None"
"Pseudomonas sp. 655","None"
"Pseudomonas sp. 655","None"
"Pseudomonas sp. 770NI","None"
"Pseudomonas sp. 7SR1","None"
"Pseudomonas sp. 7SR1","None"
"Pseudomonas sp. A-1","None"
"Pseudomonas sp. A214","None"
"Pseudomonas sp. A214","None"
"Pseudomonas sp. A25(2017)","None"
"Pseudomonas sp. A25(2017)","None"
"Pseudomonas sp. A25(2017)","None"
"Pseudomonas sp. A46","None"
"Pseudomonas sp. A46","None"
"Pseudomonas sp. A46","None"
"Pseudomonas sp. AAC","None"
"Pseudomonas sp. AAC","None"
"Pseudomonas sp. ABFPK","None"
"Pseudomonas sp. ACM7","None"
"Pseudomonas sp. ACM7","None"
"Pseudomonas sp. ACN5","None"
"Pseudomonas sp. ACN5","None"
"Pseudomonas sp. ACN5","None"
"Pseudomonas sp. ACN5","None"
"Pseudomonas sp. ACN8","None"
"Pseudomonas sp. ACN8","None"
"Pseudomonas sp. ACN8","None"
"Pseudomonas sp. AD21","None"
"Pseudomonas sp. AD21","None"
"Pseudomonas sp. AD21","None"
"Pseudomonas sp. AF76","None"
"Pseudomonas sp. AF76","None"
"Pseudomonas sp. AFG_SD02_1510_Pfu_092","None"
"Pseudomonas sp. AFG_SD02_1510_Pfu_092","None"
"Pseudomonas sp. ATCC 13867","None"
"Pseudomonas sp. B1(2018)","None"
"Pseudomonas sp. B1(2018)","None"
"Pseudomonas sp. B1(2018)","None"
"Pseudomonas sp. B10","None"
"Pseudomonas sp. B10","None"
"Pseudomonas sp. B10","None"
"Pseudomonas sp. BCA13","None"
"Pseudomonas sp. BCA14","None"
"Pseudomonas sp. BCA17","None"
"Pseudomonas sp. BGI-2","None"
"Pseudomonas sp. BGI-2","None"
"Pseudomonas sp. BICA1-14","None"
"Pseudomonas sp. BRG-100","None"
"Pseudomonas sp. BTN1","None"
"Pseudomonas sp. C5pp","None"
"Pseudomonas sp. C5pp","None"
"Pseudomonas sp. C9","None"
"Pseudomonas sp. C9","None"
"Pseudomonas sp. C9","None"
"Pseudomonas sp. CC120222-01a","None"
"Pseudomonas sp. CC120222-01a","None"
"Pseudomonas sp. CC120222-01a","None"
"Pseudomonas sp. CC120222-01b","None"
"Pseudomonas sp. CC120222-01b","None"
"Pseudomonas sp. CC120222-01b","None"
"Pseudomonas sp. CCOS 191","None"
"Pseudomonas sp. CCOS 191","None"
"Pseudomonas sp. CF150","None"
"Pseudomonas sp. CFBP13506","None"
"Pseudomonas sp. CFBP13508","None"
"Pseudomonas sp. CFBP13508","None"
"Pseudomonas sp. CFBP13508","None"
"Pseudomonas sp. CFBP13528","None"
"Pseudomonas sp. CFII64","None"
"Pseudomonas sp. CFII64","None"
"Pseudomonas sp. CFII68","None"
"Pseudomonas sp. CFT9","None"
"Pseudomonas sp. CH235","None"
"Pseudomonas sp. CH235","None"
"Pseudomonas sp. Choline-02u-1","None"
"Pseudomonas sp. Choline-02u-1","None"
"Pseudomonas sp. Choline-3u-10","None"
"Pseudomonas sp. DP16D-E2","None"
"Pseudomonas sp. DP16D-E2","None"
"Pseudomonas sp. DrBHI1","None"
"Pseudomonas sp. DTU12.3","None"
"Pseudomonas sp. DTU12.3","None"
"Pseudomonas sp. DY-1","None"
"Pseudomonas sp. DY-1","None"
"Pseudomonas sp. DY-1","None"
"Pseudomonas sp. DY-1","None"
"Pseudomonas sp. DY-1","None"
"Pseudomonas sp. Ea RS28","None"
"Pseudomonas sp. EGD-AKN5","None"
"Pseudomonas sp. ENNP23","None"
"Pseudomonas sp. ENNP23","None"
"Pseudomonas sp. Ep R1","None"
"Pseudomonas sp. Ep R1","None"
"Pseudomonas sp. ES3-33","None"
"Pseudomonas sp. ES3-33","None"
"Pseudomonas sp. F01002","None"
"Pseudomonas sp. F01002","None"
"Pseudomonas sp. FFUP_PS_41","None"
"Pseudomonas sp. FFUP_PS_41","None"
"Pseudomonas sp. FFUP_PS_473","None"
"Pseudomonas sp. FGI182","None"
"Pseudomonas sp. FH4","None"
"Pseudomonas sp. FH4","None"
"Pseudomonas sp. FSL W5-0203","None"
"Pseudomonas sp. FSL W5-0299","None"
"Pseudomonas sp. FSL W5-0299","None"
"Pseudomonas sp. FW104-15G4B","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW104-R4","None"
"Pseudomonas sp. FW126-L8","None"
"Pseudomonas sp. FW215-E1","None"
"Pseudomonas sp. FW215-R3","None"
"Pseudomonas sp. FW215-R3","None"
"Pseudomonas sp. FW215-R3","None"
"Pseudomonas sp. FW215-R3","None"
"Pseudomonas sp. FW215-R3","None"
"Pseudomonas sp. FW215-R4","None"
"Pseudomonas sp. FW215-T2","None"
"Pseudomonas sp. FW215-T2","None"
"Pseudomonas sp. FW215-T2","None"
"Pseudomonas sp. FW215-T2","None"
"Pseudomonas sp. FW215-T2","None"
"Pseudomonas sp. FW300-N1A1","None"
"Pseudomonas sp. FW300-N1A1","None"
"Pseudomonas sp. FW300-N1A5","None"
"Pseudomonas sp. FW303-C2","None"
"Pseudomonas sp. FW303-C2","None"
"Pseudomonas sp. FW303-C2","None"
"Pseudomonas sp. FW305-122","None"
"Pseudomonas sp. FW305-122","None"
"Pseudomonas sp. FW305-122","None"
"Pseudomonas sp. FW305-127","None"
"Pseudomonas sp. FW305-127","None"
"Pseudomonas sp. FW305-130","None"
"Pseudomonas sp. FW305-131","None"
"Pseudomonas sp. FW305-131","None"
"Pseudomonas sp. FW305-131","None"
"Pseudomonas sp. FW305-131","None"
"Pseudomonas sp. FW305-131","None"
"Pseudomonas sp. FW305-17","None"
"Pseudomonas sp. FW305-17","None"
"Pseudomonas sp. FW305-20","None"
"Pseudomonas sp. FW305-20","None"
"Pseudomonas sp. FW305-25","None"
"Pseudomonas sp. FW305-3-2-15-A-R2A1","None"
"Pseudomonas sp. FW305-3-2-15-A-R2A1","None"
"Pseudomonas sp. FW305-42","None"
"Pseudomonas sp. FW305-42","None"
"Pseudomonas sp. FW305-47B","None"
"Pseudomonas sp. FW305-47B","None"
"Pseudomonas sp. FW305-53","None"
"Pseudomonas sp. FW305-53","None"
"Pseudomonas sp. FW305-53","None"
"Pseudomonas sp. FW305-62","None"
"Pseudomonas sp. FW305-62","None"
"Pseudomonas sp. FW305-62","None"
"Pseudomonas sp. FW305-62","None"
"Pseudomonas sp. FW305-67","None"
"Pseudomonas sp. FW305-67","None"
"Pseudomonas sp. FW305-67","None"
"Pseudomonas sp. FW305-67","None"
"Pseudomonas sp. FW305-BF15","None"
"Pseudomonas sp. FW305-BF15","None"
"Pseudomonas sp. FW305-BF6","None"
"Pseudomonas sp. FW305-BF6","None"
"Pseudomonas sp. FW305-BF8","None"
"Pseudomonas sp. FW305-BF8","None"
"Pseudomonas sp. FW305-E2","None"
"Pseudomonas sp. FW305-E2","None"
"Pseudomonas sp. FW306-02-F02-AA","None"
"Pseudomonas sp. FW306-02-F02-AB","None"
"Pseudomonas sp. FW306-02-F04-AA","None"
"Pseudomonas sp. FW306-02-F04-BA","None"
"Pseudomonas sp. FW306-02-F08-AA","None"
"Pseudomonas sp. FW306-02-H05-AA","None"
"Pseudomonas sp. FW306-02-H05-AB","None"
"Pseudomonas sp. FW306-02-H05-BA","None"
"Pseudomonas sp. FW306-02-H06B","None"
"Pseudomonas sp. FW306-02-H06C","None"
"Pseudomonas sp. FW306-07-L","None"
"Pseudomonas sp. FW306-07-L","None"
"Pseudomonas sp. FW306-1C-G01A","None"
"Pseudomonas sp. FW306-1C-G01A","None"
"Pseudomonas sp. FW306-2-11AA","None"
"Pseudomonas sp. FW306-2-11AB","None"
"Pseudomonas sp. FW306-2-11AC","None"
"Pseudomonas sp. FW306-2-11AD","None"
"Pseudomonas sp. FW306-2-11BA","None"
"Pseudomonas sp. FW306-2-1A-C05A","None"
"Pseudomonas sp. FW306-2-1A-C05A","None"
"Pseudomonas sp. FW306-2-2C-A10BC","None"
"Pseudomonas sp. FW306-2-2C-A10BC","None"
"Pseudomonas sp. FW306-2-2C-A10BC","None"
"Pseudomonas sp. FW306-2-2C-B10A","None"
"Pseudomonas sp. FW306-2-2C-B10A","None"
"Pseudomonas sp. FW306-2-2C-D06B","None"
"Pseudomonas sp. FW306-2-2C-D06C","None"
"Pseudomonas sp. FW507-14D01","None"
"Pseudomonas sp. FW507-14D01","None"
"Pseudomonas sp. FW507-14D01","None"
"Pseudomonas sp. FW507-29LB","None"
"Pseudomonas sp. FW507-29LB","None"
"Pseudomonas sp. G5(2012)","None"
"Pseudomonas sp. G5(2012)","None"
"Pseudomonas sp. GM102","None"
"Pseudomonas sp. GM102","None"
"Pseudomonas sp. GM102","None"
"Pseudomonas sp. GM16","None"
"Pseudomonas sp. GM16","None"
"Pseudomonas sp. GM16","None"
"Pseudomonas sp. GM16","None"
"Pseudomonas sp. GM17","None"
"Pseudomonas sp. GM18","None"
"Pseudomonas sp. GM18","None"
"Pseudomonas sp. GM18","None"
"Pseudomonas sp. GM21","None"
"Pseudomonas sp. GM21","None"
"Pseudomonas sp. GM21","None"
"Pseudomonas sp. GM21","None"
"Pseudomonas sp. GM21","None"
"Pseudomonas sp. GM24","None"
"Pseudomonas sp. GM24","None"
"Pseudomonas sp. GM24","None"
"Pseudomonas sp. GM24","None"
"Pseudomonas sp. GM25","None"
"Pseudomonas sp. GM25","None"
"Pseudomonas sp. GM25","None"
"Pseudomonas sp. GM30","None"
"Pseudomonas sp. GM30","None"
"Pseudomonas sp. GM33","None"
"Pseudomonas sp. GM33","None"
"Pseudomonas sp. GM33","None"
"Pseudomonas sp. GM33","None"
"Pseudomonas sp. GM33","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM41(2012)","None"
"Pseudomonas sp. GM48","None"
"Pseudomonas sp. GM48","None"
"Pseudomonas sp. GM48","None"
"Pseudomonas sp. GM48","None"
"Pseudomonas sp. GM48","None"
"Pseudomonas sp. GM49","None"
"Pseudomonas sp. GM49","None"
"Pseudomonas sp. GM49","None"
"Pseudomonas sp. GM49","None"
"Pseudomonas sp. GM49","None"
"Pseudomonas sp. GM50","None"
"Pseudomonas sp. GM50","None"
"Pseudomonas sp. GM50","None"
"Pseudomonas sp. GM55","None"
"Pseudomonas sp. GM55","None"
"Pseudomonas sp. GM55","None"
"Pseudomonas sp. GM55","None"
"Pseudomonas sp. GM60","None"
"Pseudomonas sp. GM67","None"
"Pseudomonas sp. GM67","None"
"Pseudomonas sp. GM74","None"
"Pseudomonas sp. GM74","None"
"Pseudomonas sp. GM74","None"
"Pseudomonas sp. GM74","None"
"Pseudomonas sp. GM78","None"
"Pseudomonas sp. GM78","None"
"Pseudomonas sp. GM78","None"
"Pseudomonas sp. GM78","None"
"Pseudomonas sp. GM79","None"
"Pseudomonas sp. GM79","None"
"Pseudomonas sp. GM79","None"
"Pseudomonas sp. GM80","None"
"Pseudomonas sp. GM80","None"
"Pseudomonas sp. GM84","None"
"Pseudomonas sp. GR 6-02","None"
"Pseudomonas sp. GR 6-02","None"
"Pseudomonas sp. GR 6-02","None"
"Pseudomonas sp. GR 6-02","None"
"Pseudomonas sp. GV012","None"
"Pseudomonas sp. GV021","None"
"Pseudomonas sp. GV034","None"
"Pseudomonas sp. GV034","None"
"Pseudomonas sp. GV034","None"
"Pseudomonas sp. GV041","None"
"Pseudomonas sp. GV041","None"
"Pseudomonas sp. GV041","None"
"Pseudomonas sp. GV054","None"
"Pseudomonas sp. GV054","None"
"Pseudomonas sp. GV054","None"
"Pseudomonas sp. GV071","None"
"Pseudomonas sp. GV071","None"
"Pseudomonas sp. GV071","None"
"Pseudomonas sp. GV085","None"
"Pseudomonas sp. GV085","None"
"Pseudomonas sp. GV085","None"
"Pseudomonas sp. GV085","None"
"Pseudomonas sp. GV085","None"
"Pseudomonas sp. GV088","None"
"Pseudomonas sp. GV088","None"
"Pseudomonas sp. GV088","None"
"Pseudomonas sp. GV091","None"
"Pseudomonas sp. GW101-1A09","None"
"Pseudomonas sp. GW101-1A09","None"
"Pseudomonas sp. GW101-20A5","None"
"Pseudomonas sp. GW101-20A5","None"
"Pseudomonas sp. GW101-3F01","None"
"Pseudomonas sp. GW101-3F01","None"
"Pseudomonas sp. GW247-5R2A","None"
"Pseudomonas sp. GW247-5R2A","None"
"Pseudomonas sp. GW456-11-11-14-LB1","None"
"Pseudomonas sp. GW456-11-11-14-LB2","None"
"Pseudomonas sp. GW456-11-11-14-LB2","None"
"Pseudomonas sp. GW456-12-1-14-LB2","None"
"Pseudomonas sp. GW456-12-1-14-LB2","None"
"Pseudomonas sp. GW456-A1B","None"
"Pseudomonas sp. GW456-A1B","None"
"Pseudomonas sp. GW456-A1B","None"
"Pseudomonas sp. GW456-E6","None"
"Pseudomonas sp. GW456-E6","None"
"Pseudomonas sp. GW456-E7","None"
"Pseudomonas sp. GW456-E7","None"
"Pseudomonas sp. GW456-E7","None"
"Pseudomonas sp. GW456-L12","None"
"Pseudomonas sp. GW456-L12","None"
"Pseudomonas sp. GW456-L14","None"
"Pseudomonas sp. GW456-R21","None"
"Pseudomonas sp. GW460-11-11-14-LB11","None"
"Pseudomonas sp. GW460-11-11-14-LB11","None"
"Pseudomonas sp. GW460-12-1-14-LB3","None"
"Pseudomonas sp. GW460-12-1-14-LB3","None"
"Pseudomonas sp. GW460-13","None"
"Pseudomonas sp. GW460-13","None"
"Pseudomonas sp. GW460-5","None"
"Pseudomonas sp. GW460-7","None"
"Pseudomonas sp. GW460-7","None"
"Pseudomonas sp. GW460-8","None"
"Pseudomonas sp. GW460-8","None"
"Pseudomonas sp. GW460-C2","None"
"Pseudomonas sp. GW460-C2","None"
"Pseudomonas sp. GW460-C3","None"
"Pseudomonas sp. GW460-C3","None"
"Pseudomonas sp. GW460-C8","None"
"Pseudomonas sp. GW460-C8","None"
"Pseudomonas sp. GW460-E13","None"
"Pseudomonas sp. GW460-E13","None"
"Pseudomonas sp. GW460-E13","None"
"Pseudomonas sp. GW460-R15","None"
"Pseudomonas sp. GW531-E2","None"
"Pseudomonas sp. GW531-E2","None"
"Pseudomonas sp. GW531-T4","None"
"Pseudomonas sp. GW531-T4","None"
"Pseudomonas sp. GW704-F3","None"
"Pseudomonas sp. H2","None"
"Pseudomonas sp. H9","None"
"Pseudomonas sp. HAR-UPW-AIA-41","None"
"Pseudomonas sp. HLS-6","None"
"Pseudomonas sp. HMSC75E02","None"
"Pseudomonas sp. HMWF005","None"
"Pseudomonas sp. HMWF005","None"
"Pseudomonas sp. HMWF006","None"
"Pseudomonas sp. HMWF006","None"
"Pseudomonas sp. HMWF010","None"
"Pseudomonas sp. HMWF021","None"
"Pseudomonas sp. HMWF032","None"
"Pseudomonas sp. HMWF034","None"
"Pseudomonas sp. In5","None"
"Pseudomonas sp. In5","None"
"Pseudomonas sp. JMN1","None"
"Pseudomonas sp. JV241A","None"
"Pseudomonas sp. JV241A","None"
"Pseudomonas sp. JV551A1","None"
"Pseudomonas sp. JV551A1","None"
"Pseudomonas sp. JY-Q","None"
"Pseudomonas sp. K1S02-6","None"
"Pseudomonas sp. K2W31S-8","None"
"Pseudomonas sp. K2W31S-8","None"
"Pseudomonas sp. K2W31S-8","None"
"Pseudomonas sp. KBW05","None"
"Pseudomonas sp. LAB-08","None"
"Pseudomonas sp. LAB-08","None"
"Pseudomonas sp. LB-090624","None"
"Pseudomonas sp. LB-090624","None"
"Pseudomonas sp. Leaf129","None"
"Pseudomonas sp. Leaf129","None"
"Pseudomonas sp. Leaf434","None"
"Pseudomonas sp. Leaf48","None"
"Pseudomonas sp. Leaf48","None"
"Pseudomonas sp. Leaf58","None"
"Pseudomonas sp. Leaf58","None"
"Pseudomonas sp. Leaf83","None"
"Pseudomonas sp. Leaf83","None"
"Pseudomonas sp. Leaf98","None"
"Pseudomonas sp. LLC-1","None"
"Pseudomonas sp. LP_4_YM","None"
"Pseudomonas sp. LP_6_YM","None"
"Pseudomonas sp. LP_8_YM","None"
"Pseudomonas sp. LPH1","None"
"Pseudomonas sp. LPH1","None"
"Pseudomonas sp. LS-2","None"
"Pseudomonas sp. M30-35","None"
"Pseudomonas sp. M30-35","None"
"Pseudomonas sp. M7D1","None"
"Pseudomonas sp. MB-090624","None"
"Pseudomonas sp. MDMC17","None"
"Pseudomonas sp. MDMC17","None"
"Pseudomonas sp. MDMC17","None"
"Pseudomonas sp. MDMC216","None"
"Pseudomonas sp. MDMC216","None"
"Pseudomonas sp. MDMC216","None"
"Pseudomonas sp. MDMC224","None"
"Pseudomonas sp. MDMC224","None"
"Pseudomonas sp. MDMC224","None"
"Pseudomonas sp. MF6394","None"
"Pseudomonas sp. MF6396","None"
"Pseudomonas sp. MPBD7-1","None"
"Pseudomonas sp. MPBD7-1","None"
"Pseudomonas sp. MPBD7-1","None"
"Pseudomonas sp. MPR-ANC1","None"
"Pseudomonas sp. MPR-AND1A","None"
"Pseudomonas sp. MPR-AND1A","None"
"Pseudomonas sp. MPR-E5","None"
"Pseudomonas sp. MPR-E5","None"
"Pseudomonas sp. MPR-R1B","None"
"Pseudomonas sp. MPR-R1B","None"
"Pseudomonas sp. MPR-R2A2","None"
"Pseudomonas sp. MPR-R2A2","None"
"Pseudomonas sp. MPR-R3A","None"
"Pseudomonas sp. MPR-R3B","None"
"Pseudomonas sp. MPR-R3B","None"
"Pseudomonas sp. MPR-R3B","None"
"Pseudomonas sp. MPR-TSA4","None"
"Pseudomonas sp. MPR-TSA4","None"
"Pseudomonas sp. MR 02","None"
"Pseudomonas sp. MR 02","None"
"Pseudomonas sp. MS586","None"
"Pseudomonas sp. MWU12-2115","None"
"Pseudomonas sp. MWU12-2115","None"
"Pseudomonas sp. MWU12-2534b","None"
"Pseudomonas sp. MWU12-2534b","None"
"Pseudomonas sp. MWU13-2625","None"
"Pseudomonas sp. MWU13-2625","None"
"Pseudomonas sp. MWU13-2860","None"
"Pseudomonas sp. MYb115","None"
"Pseudomonas sp. MYb115","None"
"Pseudomonas sp. MYb187","None"
"Pseudomonas sp. NDM","None"
"Pseudomonas sp. NDM","None"
"Pseudomonas sp. NFACC02","None"
"Pseudomonas sp. NFACC04-2","None"
"Pseudomonas sp. NFACC04-2","None"
"Pseudomonas sp. NFACC04-2","None"
"Pseudomonas sp. NFACC04-2","None"
"Pseudomonas sp. NFACC05-1","None"
"Pseudomonas sp. NFACC05-1","None"
"Pseudomonas sp. NFACC05-1","None"
"Pseudomonas sp. NFACC05-1","None"
"Pseudomonas sp. NFACC06-1","None"
"Pseudomonas sp. NFACC06-1","None"
"Pseudomonas sp. NFACC07-1","None"
"Pseudomonas sp. NFACC07-1","None"
"Pseudomonas sp. NFACC07-1","None"
"Pseudomonas sp. NFACC07-1","None"
"Pseudomonas sp. NFACC08-1","None"
"Pseudomonas sp. NFACC08-1","None"
"Pseudomonas sp. NFACC08-1","None"
"Pseudomonas sp. NFACC09-4","None"
"Pseudomonas sp. NFACC09-4","None"
"Pseudomonas sp. NFACC09-4","None"
"Pseudomonas sp. NFACC11-2","None"
"Pseudomonas sp. NFACC13-1","None"
"Pseudomonas sp. NFACC13-1","None"
"Pseudomonas sp. NFACC13-1","None"
"Pseudomonas sp. NFACC14","None"
"Pseudomonas sp. NFACC14","None"
"Pseudomonas sp. NFACC14","None"
"Pseudomonas sp. NFACC15-1","None"
"Pseudomonas sp. NFACC15-1","None"
"Pseudomonas sp. NFACC15-1","None"
"Pseudomonas sp. NFACC16-2","None"
"Pseudomonas sp. NFACC16-2","None"
"Pseudomonas sp. NFACC16-2","None"
"Pseudomonas sp. NFACC16-2","None"
"Pseudomonas sp. NFACC17-2","None"
"Pseudomonas sp. NFACC17-2","None"
"Pseudomonas sp. NFACC17-2","None"
"Pseudomonas sp. NFACC17-2","None"
"Pseudomonas sp. NFACC19-2","None"
"Pseudomonas sp. NFACC19-2","None"
"Pseudomonas sp. NFACC23-1","None"
"Pseudomonas sp. NFACC23-1","None"
"Pseudomonas sp. NFACC23-1","None"
"Pseudomonas sp. NFACC23-1","None"
"Pseudomonas sp. NFACC24-1","None"
"Pseudomonas sp. NFACC24-1","None"
"Pseudomonas sp. NFACC24-1","None"
"Pseudomonas sp. NFACC32-1","None"
"Pseudomonas sp. NFACC32-1","None"
"Pseudomonas sp. NFACC32-1","None"
"Pseudomonas sp. NFACC36","None"
"Pseudomonas sp. NFACC36","None"
"Pseudomonas sp. NFACC36","None"
"Pseudomonas sp. NFACC37-1","None"
"Pseudomonas sp. NFACC37-1","None"
"Pseudomonas sp. NFACC37-1","None"
"Pseudomonas sp. NFACC39-1","None"
"Pseudomonas sp. NFACC39-1","None"
"Pseudomonas sp. NFACC39-1","None"
"Pseudomonas sp. NFACC41-3","None"
"Pseudomonas sp. NFACC43","None"
"Pseudomonas sp. NFACC43","None"
"Pseudomonas sp. NFACC43","None"
"Pseudomonas sp. NFACC44-2","None"
"Pseudomonas sp. NFACC44-2","None"
"Pseudomonas sp. NFACC44-2","None"
"Pseudomonas sp. NFACC44-2","None"
"Pseudomonas sp. NFACC45","None"
"Pseudomonas sp. NFACC45","None"
"Pseudomonas sp. NFACC45","None"
"Pseudomonas sp. NFACC46-3","None"
"Pseudomonas sp. NFACC46-3","None"
"Pseudomonas sp. NFACC46-3","None"
"Pseudomonas sp. NFACC47-1","None"
"Pseudomonas sp. NFACC47-1","None"
"Pseudomonas sp. NFACC47-1","None"
"Pseudomonas sp. NFACC48-1","None"
"Pseudomonas sp. NFACC48-1","None"
"Pseudomonas sp. NFACC48-1","None"
"Pseudomonas sp. NFACC48-1","None"
"Pseudomonas sp. NFACC49-2","None"
"Pseudomonas sp. NFACC49-2","None"
"Pseudomonas sp. NFACC49-2","None"
"Pseudomonas sp. NFACC50-1","None"
"Pseudomonas sp. NFACC50-1","None"
"Pseudomonas sp. NFACC50-1","None"
"Pseudomonas sp. NFACC50-1","None"
"Pseudomonas sp. NFACC51","None"
"Pseudomonas sp. NFACC51","None"
"Pseudomonas sp. NFACC51","None"
"Pseudomonas sp. NFACC51","None"
"Pseudomonas sp. NFACC52","None"
"Pseudomonas sp. NFACC52","None"
"Pseudomonas sp. NFACC54","None"
"Pseudomonas sp. NFACC54","None"
"Pseudomonas sp. NFACC54","None"
"Pseudomonas sp. NFACC54","None"
"Pseudomonas sp. NFACC56-3","None"
"Pseudomonas sp. NFACC56-3","None"
"Pseudomonas sp. NFIX10","None"
"Pseudomonas sp. NFIX10","None"
"Pseudomonas sp. NFIX28","None"
"Pseudomonas sp. NFIX46","None"
"Pseudomonas sp. NFIX49","None"
"Pseudomonas sp. NFIX51","None"
"Pseudomonas sp. NFPP02","None"
"Pseudomonas sp. NFPP05","None"
"Pseudomonas sp. NFPP08","None"
"Pseudomonas sp. NFPP09","None"
"Pseudomonas sp. NFPP10","None"
"Pseudomonas sp. NFPP12","None"
"Pseudomonas sp. NFPP13","None"
"Pseudomonas sp. NFPP14","None"
"Pseudomonas sp. NFPP15","None"
"Pseudomonas sp. NFPP16","None"
"Pseudomonas sp. NFPP17","None"
"Pseudomonas sp. NFPP18","None"
"Pseudomonas sp. NFPP19","None"
"Pseudomonas sp. NFPP22","None"
"Pseudomonas sp. NFPP25","None"
"Pseudomonas sp. NFPP33","None"
"Pseudomonas sp. NFPP33","None"
"Pseudomonas sp. NFR02","None"
"Pseudomonas sp. NFR16","None"
"Pseudomonas sp. ok266","None"
"Pseudomonas sp. ok266","None"
"Pseudomonas sp. ok266","None"
"Pseudomonas sp. ok266","None"
"Pseudomonas sp. ok272","None"
"Pseudomonas sp. ok272","None"
"Pseudomonas sp. ok602","None"
"Pseudomonas sp. ok602","None"
"Pseudomonas sp. Os17","None"
"Pseudomonas sp. OV081","None"
"Pseudomonas sp. OV081","None"
"Pseudomonas sp. OV081","None"
"Pseudomonas sp. OV081","None"
"Pseudomonas sp. OV081","None"
"Pseudomonas sp. OV221","None"
"Pseudomonas sp. OV221","None"
"Pseudomonas sp. OV226","None"
"Pseudomonas sp. OV226","None"
"Pseudomonas sp. OV286","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV341","None"
"Pseudomonas sp. OV397","None"
"Pseudomonas sp. OV397","None"
"Pseudomonas sp. OV397","None"
"Pseudomonas sp. OV467","None"
"Pseudomonas sp. OV467","None"
"Pseudomonas sp. OV529","None"
"Pseudomonas sp. OV657","None"
"Pseudomonas sp. p106","None"
"Pseudomonas sp. p106","None"
"Pseudomonas sp. p99-361","None"
"Pseudomonas sp. PA1(2017)","None"
"Pseudomonas sp. PA1(2017)","None"
"Pseudomonas sp. PA15(2017)","None"
"Pseudomonas sp. PA27(2017)","None"
"Pseudomonas sp. PA27(2017)","None"
"Pseudomonas sp. PA27(2017)","None"
"Pseudomonas sp. PGPPP2","None"
"Pseudomonas sp. PGPPP3","None"
"Pseudomonas sp. PI1","None"
"Pseudomonas sp. PIC25","None"
"Pseudomonas sp. PIC25","None"
"Pseudomonas sp. PIC25","None"
"Pseudomonas sp. PIC25","None"
"Pseudomonas sp. PICF141","None"
"Pseudomonas sp. PICF141","None"
"Pseudomonas sp. PICF141","None"
"Pseudomonas sp. R9.37","None"
"Pseudomonas sp. RD25","None"
"Pseudomonas sp. RD25","None"
"Pseudomonas sp. RIT-PI-o","None"
"Pseudomonas sp. RIT-PI-o","None"
"Pseudomonas sp. RIT-PI-q","None"
"Pseudomonas sp. RIT-PI-r","None"
"Pseudomonas sp. RIT288","None"
"Pseudomonas sp. RIT288","None"
"Pseudomonas sp. RIT357","None"
"Pseudomonas sp. RIT623","None"
"Pseudomonas sp. Root329","None"
"Pseudomonas sp. Root329","None"
